Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Finding Dory,Buena Vista,Animation,103,PG,,276200000
Captain America:Civil War,Buena Vista,Action / Adventure,147,PG-13,250000000,744400000
Deadpool,Fox,Action,106,R,58000000,418968273
The Jungle Book (2016),Buena Vista,Adventure,105,PG,175000000,360852718
Zootopia,Buena Vista,Animation,108,PG,,680600000
Batman v Superman:Dawn of Justice,Warner Bros.,Action / Adventure,151,PG-13,250000000,542302437
The Secret Life of Pets,Universal,Animation,90,PG,75000000,50912164
X-Men:Apocalypse,Fox,Action / Adventure,143,PG-13,178000000,378888139
Kung Fu Panda 3,Fox,Animation,95,PG,,143523463
Central Intelligence,Warner Bros. (New Line),Comedy,107,PG-13,50000000,63052531
The Angry Birds Movie,Sony / Columbia,Animation,97,PG,73000000,236740835
The Legend of Tarzan,Warner Bros.,Action / Adventure,109,PG-13,180000000,103371594
The Conjuring 2,Warner Bros. (New Line),Horror,134,R,40000000,101103011
Independence Day:Resurgence,Fox,Sci-Fi Adventure,120,PG-13,165000000,239773757
Ride Along 2,Universal,Action Comedy,101,PG-13,40000000,33383467
Teenage Mutant Ninja Turtles:Out of the Shadows,Paramount,Action / Adventure,112,PG-13,135000000,150300000
Alice Through the Looking Glass,Buena Vista,Family Adventure,112,PG,170000000,200400000
10 Cloverfield Lane,Paramount,Thriller,105,PG-13,,36203423
The Purge:Election Year,Universal,Thriller,105,R,10000000,7118620
The Divergent Series:Allegiant,Lionsgate/Summit,Action / Adventure,121,PG-13,,113056198
Now You See Me 2,Lionsgate/Summit,Thriller,129,PG-13,,203989737
The Boss,Universal,Comedy,99,R,29000000,15558697
London Has Fallen,Focus Features,Action,99,R,60000000,133201324
Miracles from Heaven,TriStar,Drama,109,PG,13000000,11869147
My Big Fat Greek Wedding 2,Universal,Comedy,94,PG-13,,29233646
Me Before You,Warner Bros. (New Line),Romance,110,PG-13,20000000,117500000
Neighbors 2:Sorority Rising,Universal,Comedy,91,R,,50996587
Barbershop:The Next Cut,Warner Bros. (New Line),Comedy,112,PG-13,,1000000
13 Hours:The Secret Soldiers of Benghazi,Paramount,Drama,144,R,50000000,16558151
The Shallows,Sony / Columbia,Horror,85,PG-13,17000000,7705260
The Huntsman:Winter's War,Universal,Action / Adventure,114,PG-13,115000000,116599148
The BFG,Buena Vista,Adventure,117,PG,140000000,17100000
Warcraft,Universal,Fantasy,123,PG-13,160000000,385200000
How to Be Single,Warner Bros.,Romantic Comedy,110,R,38000000,65300000
Ghostbusters (2016),Sony / Columbia,Horror Comedy,108,PG-13,144000000,46018755
Money Monster,TriStar,Drama / Thriller,95,R,27000000,50173472
Risen,Sony / Columbia,Action / Adventure,107,PG-13,20000000,9189535
The Nice Guys,Warner Bros.,Comedy Thriller,116,R,,
The Boy (2016),STX Entertainment,Horror,98,PG-13,10000000,28368811
Dirty Grandpa,Lionsgate,Comedy,102,R,,58479915
The 5th Wave,Sony / Columbia,Sci-Fi Action,112,PG-13,38000000,74989585
Mother's Day,Open Road Films,Comedy,118,PG-13,25000000,
Mike and Dave Need Wedding Dates,Fox,Comedy,98,R,33000000,7171227
Gods of Egypt,Lionsgate/Summit,Action / Adventure,127,PG-13,140000000,114094035
"Hail, Caesar!",Universal,Comedy,100,PG-13,22000000,33149571
Zoolander 2,Paramount,Comedy,100,PG-13,,27120307
The Finest Hours,Buena Vista,Thriller,109,PG-13,,24529532
The Forest,Focus Features,Horror,95,PG-13,10000000,11014038
The Witch,A24,Horror,92,R,,15285240
Whiskey Tango Foxtrot,Paramount,Comedy,112,R,35000000,
God's Not Dead 2,Pure Flix,Drama,121,PG,,
Keanu,Warner Bros. (New Line),Comedy,98,R,15000000,
Free State of Jones,STX Entertainment,Action Drama,139,R,50000000,
Race (2016),Focus Features,Drama,134,PG-13,,
The Choice,Lionsgate,Romance,111,PG-13,,
Eye in the Sky,Bleecker Street,Drama / Thriller,102,R,,
Norm of the North,Lionsgate,Animation,90,PG,,
Eddie the Eagle,Fox,Drama,105,PG-13,23000000,30363411
Criminal (2016),Lionsgate/Summit,Action,113,R,,
"Hello, My Name is Doris",Roadside Attractions,Comedy,95,R,,
Love & Friendship,Roadside Attractions,Comedy,92,PG,,
Triple 9,Open Road Films,Thriller,115,R,,
Fifty Shades of Black,Open Road Films,Comedy,92,R,,9477859
Pride and Prejudice and Zombies,Sony / Screen Gems,Comedy,108,PG-13,28000000,5467037
The Darkness,High Top Releasing,Horror,92,PG-13,,
The Perfect Match,Lionsgate,Romantic Comedy,96,R,,730792
Popstar:Never Stop Never Stopping,Universal,Comedy,86,R,,
Hardcore Henry,STX Entertainment,Action Thriller,95,R,,5081752
Meet the Blacks,Freestyle Releasing,Comedy,93,R,,
Ratchet & Clank,Focus Features,Animation,94,PG,,
The Lobster (US Release),A24,Comedy / Drama,118,R,,8663245
The Brothers Grimsby,Sony / Columbia,Comedy,83,R,,18308092
The Infiltrator,Broad Green Pictures,Drama / Thriller,127,R,,
The Young Messiah,Focus Features,Historical Drama,111,PG-13,,
Sultan,Yash Raj,Drama,143,Unrated,,48017671
The Meddler,Sony Classics,Comedy,100,PG-13,,
A Hologram for the King,Roadside Attractions,Drama,108,R,,
Where to Invade Next,Drafthouse,Documentary,119,R,,
The Man Who Knew Infinity,IFC,Drama,109,PG-13,,
Swiss Army Man,A24,Comedy,95,R,,
A Beautiful Planet,IMAX,Documentary,45,G,,269672
Midnight Special,Warner Bros.,Sci-Fi,111,PG-13,,2500000
Everybody Wants Some!!,Paramount,Comedy,117,R,,
The Mermaid (Mei ren yu),Sony / Columbia,Fantasy Drama,100,R,,550577543
Green Room,A24,Thriller,94,R,,3220371
Sing Street,Weinstein Company,Musical,105,PG-13,,5144705
Compadres,Pantelion,Action,101,R,,
Maggie's Plan,Sony Classics,Comedy,92,R,,3121707
The Other Side of the Door,Fox,Horror,96,R,,11181375
2016 Oscar Nominated Short Films,Shorts International,Unknown,,Unrated,,
Our Kind of Traitor,Roadside Attractions,Drama,108,R,,
Ip Man 3,Well Go USA,Action,105,PG-13,,154165316
Miles Ahead,Sony Classics,Drama,100,R,,
Kapoor & Sons - Since 1921,FIP,Comedy,132,Unrated,,12789411
A Aa,Blue Sky Cinema,Comedy / Drama,152,Unrated,,
A Bigger Splash,Fox Searchlight,Crime Drama,124,R,,
Demolition,Fox Searchlight,Drama,101,R,,1978592
Busco Novio Para Mi Mujer,Lionsgate,Comedy,92,PG-13,,
Fan,Yash Raj,Comedy / Drama,138,Unrated,,
I Saw the Light,Sony Classics,Drama,123,R,,1646788
Neerja,FIP,Drama,122,Unrated,,15871616
Weiner,IFC,Documentary,96,R,,
Jane Got a Gun,Weinstein Company,Western,98,R,,
Hunt for the Wilderpeople,The Orchard,Adventure Comedy,101,PG-13,,
The Little Prince,Entertainment One,Animation,108,PG,,1339152
Embrace of the Serpent,Oscilloscope Pictures,Drama,122,Unrated,,1329249
Housefull 3,Eros,Romantic Comedy,140,Unrated,,
The Neon Demon,Broad Green Pictures,Horror Thriller,117,R,,
Genius,Roadside Attractions,Drama,104,PG-13,,1284723
Lazer Team,Amplify,Sci-Fi Comedy,102,PG-13,,
Wazir,Reliance Big Pictures,Thriller,102,Unrated,,
Papa:Hemingway in Cuba,Yari Film Group,Drama,109,Unrated,,
Dough,Menemsha,Comedy / Drama,94,Unrated,,
Elvis & Nixon,Bleecker Street,Drama,86,R,,
Gentleman,Gaatri Media,Drama / Thriller,144,Unrated,,
Ki & Ka,Eros,Romantic Comedy,126,Unrated,,
Dark Horse (2016),Sony Classics,Documentary,85,PG,,
Chongqing Hot Pot,China Lion,Thriller,94,Unrated,,
The Music of Strangers,The Orchard,Documentary,96,PG-13,,
The Wailing (Goksung),Well Go USA,Drama / Thriller,156,Unrated,,
The Monkey King 2 in 3D,China Lion,Action / Adventure,118,Unrated,,192967176
Born to be Blue (US Release),IFC,Drama,97,R,,
Remember (US Release),A24,Drama / Thriller,95,R,,
The Bronze,Sony Classics,Comedy,108,R,,
City of Gold,IFC,Documentary,89,R,,
Range 15,Tugg ,Horror Comedy,102,Unrated,,
Saturday's Warrior,Purdie Distribution,Musical,119,PG,,
Knight of Cups,Broad Green Pictures,Drama,118,R,,
Fitoor,UTV Communications,Romance,130,Unrated,,
The First Monday in May,Magnolia,Documentary,90,PG-13,,
Unsullied,Indican,Action Horror,92,R,,
Marguerite,Cohen Media Group,Drama,129,R,,
The Boy and the Beast,FUNimation Films,Animation,119,PG-13,,
Detective Chinatown (Tang ren jie tan an),China Lion,Foreign,136,Unrated,,125368683
Only Yesterday (2016 re-release),GKIDS,Animation,118,PG,,
Baaghi,UTV Communications,Action Comedy,133,Unrated,,
Captain Fantastic,Bleecker Street,Drama,114,R,,
The Innocents,Music Box Films,Drama,115,PG-13,,
Tickled,Magnolia,Documentary,92,R,,
Wiener-Dog,IFC,Comedy,90,R,,
The Lobster (Canada Release),Mongrel Media,Comedy / Drama,118,Unknown,,
Cafe Society,Lionsgate,Comedy / Drama,96,PG-13,,359289
Cold War 2,Well Go USA,Action Thriller,114,Unrated,,
Te3n,Reliance Films,Crime Thriller,135,Unrated,,
High-Rise,Magnolia,Action Drama,119,R,,
AmeriGeddon,Forewarned,Action,90,PG-13,,
Francofonia,Music Box Films,Documentary,88,Unrated,,
April and the Extraordinary World,GKIDS,Animation,105,PG,,
My Golden Days,Magnolia,Drama,123,R,,
The Family Fang,Starz Media,Comedy,105,R,,
Minimalism:A Documentary About the Important Things,Gathr Films,Documentary,79,Unrated,,
Dheepan,IFC,Crime Drama,115,R,,240282
The Invitation,Drafthouse,Horror Thriller,100,Unrated,,
Jimmy Vestvood:Amerikan Hero,Sky Island Films,Comedy,84,Unrated,,
Ho Mann Jahaan,Eros,Musical,170,Unrated,,
Kaptaan,UTV Communications,Comedy / Drama,142,Unrated,,
El Clan,Fox,Crime Thriller,110,R,,20180768
The Masked Saint,Freestyle Releasing,Drama,105,PG-13,,
Viva,Magnolia,Drama,100,R,,
The Wave,Magnolia,Action Drama,104,R,,
Eat That Question:Frank Zappa in His Own Words,Sony Classics,Documentary,90,R,,
Vaxxed:From Cover-Up to Catastrophe,Cinema Libre,Documentary,91,Unrated,,
Louder than Bombs,The Orchard,Drama,109,R,,
Beauty and the Beast (2016 re-issue),Janus Films,Fantasy,93,Unrated,,
De Palma,A24,Documentary,111,R,,
Born to be Blue,Entertainment One,Drama,97,Unknown,,
Rams (Hr_ätar),Cohen Media Group,Drama,93,R,,
Touched with Fire,Roadside Attractions,Drama,110,R,,
Krisha,A24,Drama,82,R,,
Sunset Song,Magnolia,Drama,135,R,,
Psycho-Pass:The Movie,FUNimation Films,Animation,113,Unrated,,
Tumbledown,Starz Media,Comedy / Drama,105,R,,
The Witness,FilmRise,Documentary,90,Unrated,,
The Fits,Oscilloscope Pictures,Drama,72,Unrated,,
Chimes at Midnight (2016 re-release),Janus Films,Comedy / Drama,116,Unrated,,
Spirits' Homecoming,Pan Media & Entertainment,Drama,127,Unrated,,
A War,Magnolia,Drama,115,R,,
Eva Hesse,Zeitgeist,Documentary,108,Unrated,,
Hockney,Film Movement,Documentary,112,Unrated,,
Three,Well Go USA,Action Thriller,87,Unrated,,
Caged No More,Freestyle Releasing,Drama / Thriller,97,PG-13,,
The Measure of a Man,Kino Lorber,Drama,93,Unrated,,
Requiem for the American Dream,The Film Collaborative,Documentary,73,Unrated,,
Aferim!,Big World Pictures,Comedy / Drama,106,Unrated,,
Dictator,Eros,Action,,Unrated,,
Puerto Ricans in Paris,Focus World,Comedy,82,R,,
Tale of Tales,IFC,Fantasy,133,R,,
Our Last Tango,Strand,Foreign,85,Unrated,,
"New York, New York (2016)",China Lion,Drama,106,Unrated,,
"Life, Animated",The Orchard,Documentary,89,Unrated,,
Zero Days,Magnolia,Documentary,114,PG-13,,
No One's Life Is Easy:So I Married an Anti-Fan,China Lion,Comedy,96,Unrated,,
Los Sures,Oscilloscope Pictures,Documentary,57,Unrated,,
Mountains May Depart,Kino Lorber,Drama,131,Unrated,,
Vita Activa:The Spirit of Hannah Arendt,Zeitgeist,Documentary,125,Unrated,,
Fireworks Wednesday,Grasshopper Film,Drama,102,Unrated,,
Les cowboys,Cohen Media Group,Drama,104,R,,
Colliding Dreams,International Film Circuit,Documentary,134,Unrated,,
Sweet Bean,Kino Lorber,Drama,113,Unrated,,
Saala Khadoos,UTV Communications,Sports Drama,110,Unrated,,
Hillary's America:The Secret History of the Democratic Party,Quality Flix,Documentary,,PG-13,,74813
Sweet 20,CJ Entertainment,Comedy,127,Unrated,,
Our Little Sister,Sony Classics,Drama,128,PG,,
The Congressman,Shadow Dist.,Comedy / Drama,98,R,,
The Kind Words,Strand,Comedy / Drama,118,Unrated,,
